35000012;AYRES DE MOURA PROFESSOR;SAO PAULO;RUA ARTUR ORLANDO;01/02/2012;21/12/2012
35000024;GAVIAO PEIXOTO BRIGADEIRO;SAO PAULO;RUA MOGEIRO;01/02/2012;21/12/2012
35000036;JOAO SOLIMEO;SAO PAULO;ESTRADA DO SABAO;01/02/2012;21/12/2012
35000048;WALFREDO ARANTES CALDAS PROFESSOR;SAO PAULO;AVENIDA DEPUTADO CANTIDIO SAMPAIO;01/02/2012;21/12/2012
35000059;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;SAO PAULO;RUA FRANCISCO GIRON;01/02/2012;14/12/2012
35000061;SUZANA DE CAMPOS DONA;SAO PAULO;RUA ANTONIO MAIA;01/02/2012;21/12/2012
35000073;JULIO DE FARIA E SOUZA PROFESSOR;SAO PAULO;RUA POMPEU PEQUENO DE SOUZA BRASIL;01/02/2012;20/12/2012
35000085;JULIO CESAR DE OLIVEIRA PROFESSOR;SAO PAULO;RUA ALBERTO VEIGA;01/02/2012;14/12/2012
35000097;RENATO DE ARRUDA PENTEADO PROFESSOR;SAO PAULO;RUA FLORIANO COSTA BARROSO;01/02/2012;21/12/2012
35000103;JOAO BOEMER JARDIM PROFESSOR;SAO PAULO;RUA CRISTOVAO SANTIAGO;01/02/2012;14/12/2012
35000115;FRANCISCO FARIA NETO PROFESSOR;SAO PAULO;RUA SILVERIO DE CASTRO SOUSA;01/02/2012;21/12/2012
35000127;JOSE ALTENFELDER SILVA PROFESSOR;SAO PAULO;RUA CARLOS ALBERTO VANZOLINI;01/02/2012;21/12/2012
35000139;MARIANO DE OLIVEIRA PROFESSOR;SAO PAULO;RUA ALMIRANTE ISAIAS DE NORONHA;01/02/2012;21/12/2012
35000140;SILVIO XAVIER ANTUNES PROFESSOR;SAO PAULO;RUA JOSE DA SILVA MARTHA;01/02/2012;21/12/2012
35000152;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;SAO PAULO;PRACA ITAQUIRAI;01/02/2012;21/12/2012
35000164;PIO TELLES PEIXOTO PROFESSOR;SAO PAULO;RUA ARTUR ORLANDO;01/02/2012;14/12/2012
35000176;ZENAIDE VILALVA DE ARAUJO PROFESSORA;SAO PAULO;RUA BELO JARDIM;01/02/2012;21/12/2012
35000188;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;SAO PAULO;AVENIDA MUTINGA;01/02/2012;14/12/2012
35000197;AGENOR COUTO DE MAGALHAES DOUTOR;SAO PAULO;AVENIDA GUILHERME MANKEL;01/02/2012;20/12/2012
35000206;ALIPIO DE BARROS PROFESSOR;SAO PAULO;AVENIDA COMENDADOR FEIZ ZARZUR;01/02/2012;21/12/2012
35000218;ANTONIO FRANCISCO REDONDO PROFESSOR;SAO PAULO;;01/02/2012;21/12/2012
